roi,g,lower,upper
dentate nucleus,-0.19175728091531752,-0.3205105394291882,-0.06300006672177295
Cingulate cortex: area 29a,-0.15107793872862096,-0.2798273421784527,-0.022325440447748025
Cingulate cortex: area 29b,-0.2883353988504247,-0.4171018839978549,-0.15956299213623162
Cingulate cortex: area 32,0.18808496233874691,0.059328226783034135,0.3168378160550344
Amygdalopiriform transition area,-0.1973768117375135,-0.32613068358767805,-0.06861887417999776
Primary auditory cortex,-0.42278116779312086,-0.5515755862189112,-0.2939780448808911
Secondary auditory cortex: dorsal area,-0.33062881049771764,-0.4594028985562359,-0.20184791849953465
Secondary auditory cortex: ventral area,-0.6133961184241832,-0.742249164602407,-0.48453050366209016
Claustrum: dorsal part,-0.31226913983401755,-0.4410397883334421,-0.1834920523965989
Dorsal nucleus of the endopiriform,-0.25098843860293213,-0.37974913567163665,-0.12222259791867994
Dorsolateral entorhinal cortex,-0.21174541875273345,-0.3405009475056329,-0.08298554238808485
Dorsolateral orbital cortex,-0.22409867893637136,-0.352855733758214,-0.09533699876427304
Dorsal tenia tecta,0.25669351881911395,0.12792670643570994,0.3854550317411012
Ectorhinal cortex,-0.3850786754498198,-0.5138641744012976,-0.25628527511164395
Frontal cortex: area 3,-0.25088788691562325,-0.37964855355914395,-0.12212205068313069
Insular region: not subdivided,-0.3516271445521216,-0.48040542061181585,-0.2228416434294929
Lateral parietal association cortex,-0.18327347503593194,-0.3120258533350383,-0.054517343049009244
Primary motor cortex,-0.13285546472702658,-0.26160348140033574,-0.004104729365980574
Medial orbital cortex,0.21544069748867833,0.08668028163572135,0.344196684778929
Piriform cortex,-0.27778341894840464,-0.40654816234934094,-0.14901293248598996
anterior lobule  (lobules 4-5),-0.32959479777341943,-0.4583686872321238,-0.2008141461771474
crus 1: ansiform lobule (lobule 6),-0.2632014685200509,-0.3919639816461183,-0.13443357091127983
paramedian lobule (lobule 7),-0.2365109354540704,-0.36526962009589253,-0.1077473739122102
flocculus (FL),-0.2054451324505921,-0.3341999187547948,-0.0766861369746886
Perirhinal cortex,-0.2773734055977088,-0.40613809419267055,-0.1486030097563783
Parietal cortex: posterior area: rostral part,-0.2165696845804918,-0.3453258026248711,-0.08780911622008787
Rostral amygdalopiriform area,-0.3421352081636,-0.47091157444108644,-0.213351853447475
Primary somatosensory cortex,-0.21402861796590159,-0.34278440816917183,-0.08526842607113903
Primary somatosensory cortex: barrel field,-0.28794743994434024,-0.4167138627905005,-0.15917509602908644
Primary somatosensory cortex: dysgranular zone,-0.205539795910578,-0.3342945805495055,-0.07678077049350354
Primary somatosensory cortex: forelimb region,-0.257411391824786,-0.38617300926205245,-0.1286444491793396
Primary somatosensory cortex: hindlimb region,-0.19606196531527317,-0.32481568505074865,-0.06730421293954347
Primary somatosensory cortex: shoulder region,-0.27683817010317946,-0.40560277635157654,-0.14806787051449247
Primary somatosensory cortex: trunk region,-0.19998321635091784,-0.32873736753308963,-0.0712249414001185
Primary somatosensory cortex: upper lip region,-0.23977404904219685,-0.36853315441640627,-0.11100995433869898
Secondary somatosensory cortex,-0.43084398232662513,-0.5596404303667861,-0.3020386769059783
Temporal association area,-0.4767209112999584,-0.6055296782891196,-0.3479023607375929
Primary visual cortex: binocular area,-0.21475422480019876,-0.3435101330343858,-0.0859939119765632
Primary visual cortex: monocular area,-0.2021028719261955,-0.33085723190781247,-0.07334433698119701
Secondary visual cortex: lateral area,-0.19913597027730684,-0.32789004948234796,-0.07037780184696014
colliculus: inferior,-0.19068314991363028,-0.3194362887913635,-0.06192609872060919
Secondary visual cortex: mediolateral area,-0.15620968146103428,-0.28495950148191207,-0.027456596527950995
Secondary visual cortex: mediomedial area,-0.20160435865384466,-0.33035870757611335,-0.07284589945421825
Claustrum: ventral part,-0.37212120205746313,-0.5009037992107976,-0.24333093746584195
Ventral nucleus of the endopiriform claustrum,-0.23790638819350818,-0.3666652471856341,-0.1091426319448353
Ventral orbital cortex,0.2377847555212666,0.10902100191539069,0.36654360933387253
Ventral tenia tecta,0.170109745052901,0.04135518061763668,0.2988608235268842
cuneate nucleus,-0.14462663773945322,-0.27337551910538627,-0.015874770657839044
crus 2: ansiform lobule (lobule 7),-0.2577008943604091,-0.38646255007220937,-0.12893395318028425
paraflocculus (PFL),-0.45109703255423067,-0.5798987748538004,-0.32228603544868256
thalamus,-0.17853373700637373,-0.3072856601582348,-0.04977814551396178
LMol,-0.1741706749630209,-0.30292216162499863,-0.04541562081151192
CA1Rad,-0.20539783590424748,-0.3341525958705084,-0.0766388080161296
CA2Py,-0.2452381146249091,-0.3739979873640262,-0.11647319600534822
CA20r,-0.22641720794206194,-0.3551745665214599,-0.09765520471174773
CA2Rad,-0.287069862418074,-0.41583613305671674,-0.15829770854476188
CA3Rad,-0.1523552088946897,-0.281104702870177,-0.023602560838977014
CA1Py,-0.14926943571973628,-0.2780186661238436,-0.020517141613826246
Olfactory bulb: internal plexiform layer,0.1288387866791167,8.840925408695353e-5,0.2575864976871049
Olfactory bulb: granule cell layer,0.17282424930360923,0.04406932913485596,0.30157558808133444
Accessory olfactory bulb: granule cell layer,0.1692011260624451,0.04044666693022496,0.29795212689312306
Medial amygdala,0.21581502347726986,0.08705458901743307,0.34457107106822826
Medial preoptic nucleus,0.17933575593150622,0.050580095012952686,0.3080876985372268
